snp,1,2,3,4,5
SNP1,1,,,,
SNP2,1,,,,
SNP3,1,,,,
SNP4,1,,,,
SNP5,1,,,,
SNP6,1,,,,
SNP7,1,,,,
SNP8,1,,,,
SNP9,1,,,,
SNP10,1,,,,
SNP11,1,,,,
SNP12,1,,,,
SNP13,1,,,,
SNP14,1,,,,
SNP15,1,,,,
SNP16,1,,,,
SNP17,1,,,,
SNP18,1,,,,
SNP19,1,,,,
SNP20,1,,,,
SNP21,1,,,,
SNP22,1,,,,
SNP23,1,,,,
SNP24,1,,,,
SNP25,1,,,,
SNP26,1,,,,
SNP27,1,,,,
SNP28,1,,,,
SNP29,1,,,,
SNP30,1,,,,
SNP31,1,,,,
SNP32,1,,,,
SNP33,1,,,,
SNP34,1,,,,
SNP35,1,,,,
SNP36,1,,,,
SNP37,1,,,,
SNP38,1,,,,
SNP39,1,,,,
SNP40,1,,,,
SNP41,1,,,,
SNP42,1,,,,
SNP43,1,,,,
SNP44,1,,,,
SNP45,1,,,,
SNP46,1,,,,
SNP47,1,,,,
SNP48,1,,,,
SNP49,1,,,,
SNP50,1,,,,
SNP51,1,,,,
SNP52,1,,,,
SNP53,1,,,,
SNP54,1,,,,
SNP55,1,,,,
SNP56,1,,,,
SNP57,1,,,,
SNP58,1,,,,
SNP59,1,,,,
SNP60,1,,,,
SNP61,1,,,,
SNP62,1,,,,
SNP63,1,,,,
SNP64,1,,,,
SNP65,1,,,,
SNP66,1,,,,
SNP67,1,,,,
SNP68,1,,,,
SNP69,1,,,,
SNP70,1,,,,
SNP71,1,,,,
SNP72,1,,,,
SNP73,1,,,,
SNP74,1,,,,
SNP75,1,,,,
SNP76,1,,,,
SNP77,1,,,,
SNP78,1,,,,
SNP79,1,,,,
SNP80,1,,,,
SNP81,1,,,,
SNP82,1,,,,
SNP83,1,,,,
SNP84,1,,,,
SNP85,1,,,,
SNP86,1,,,,
SNP87,1,,,,
SNP88,1,,,,
SNP89,1,,,,
SNP90,1,,,,
SNP91,1,,,,
SNP92,1,,,,
SNP93,1,,,,
SNP94,1,,,,
SNP95,1,,,,
SNP96,1,,,,
SNP97,1,,,,
SNP98,1,,,,
