IID,milk
41,0.00224064
42,0.00947432
43,-8.3778e-05
44,-0.000437745
45,0.00552468
46,-0.00681141
47,-0.00513847
48,-0.00973109
49,0.000820572
50,-0.0013074
51,0.00226331
52,0.0100532
53,-0.0019211
54,2.25977e-05
55,-0.00513047
56,0.000280475
57,0.00370165
58,0.00180225
59,-4.73257e-05
60,0.00671992
61,0.0155523
62,-0.000709952
63,-0.00992495
64,0.00607501
65,0.00766635
66,-0.000405506
67,0.0013783
68,-0.0023194
69,0.00527643
70,-0.00192073
71,0.00159699
72,-0.000502548
73,0.0032865
74,0.0102627
75,0.00303156
76,-0.00812104
77,0.0059481
78,0.0019832
79,-0.00203612
80,-0.00476903
81,-0.00228056
82,0.0144158
83,-0.000588126
84,-0.00498046
85,-0.00365851
86,-0.00207324
87,-0.006829
88,-0.00411951
89,0.000575913
90,0.00747709
91,0.00277282
92,-0.0056771
93,-0.00164727
94,0.00324668
95,-0.000858694
96,0.00241159
97,-0.00691197
98,0.00331758
99,0.0111274
100,-0.00151218
101,0.0029509
102,0.000891596
103,0.00503133
104,0.000664868
105,0.0120797
106,0.00141557
107,0.0120972
108,0.00330741
109,-0.00726311
110,-0.00935502
111,-0.00200056
112,-0.00558861
113,0.00247571
114,-0.0143267
115,-0.0091573
116,0.0142913
117,-0.0100922
118,-0.00426362
119,0.00951014
120,-0.00113985
121,-0.00069939
122,0.00171973
123,0.000651825
124,-0.000927458
125,-0.000316766
126,-0.0032101
127,0.000286771
128,-0.0052424
129,0.00326355
130,-0.000466637
131,0.00996906
132,0.00753706
133,0.00127082
134,0.00252723
135,-0.0102468
136,-0.0040086
137,0.00422241
138,0.00894856
139,0.0066935
140,0.000880844
141,-0.00110964
142,0.006112
143,0.0132391
144,0.0066463
145,-0.00467395
146,0.00229276
147,-0.00223974
148,0.00314038
149,-0.00826673
150,3.85671e-05
151,-0.0029496
152,0.0172595
153,-0.00684998
154,-0.00347935
155,-0.0115148
156,0.00756057
157,-0.00608925
158,0.0110987
159,-0.00678974
160,0.014346
161,-0.00424257
162,-0.0154204
