pid,milk,fat,fat_percent,milk_wt
41,30.33414,1.56121,0.00563,1
42,218.38044,20.92117,0.02539,1
43,24.41727,10.49888,0.03612,1
44,-32.25627,-0.21895,0.00441,1
45,172.24860,10.98583,-0.00078,1
46,-169.69012,-13.42118,-0.02049,1
47,-47.88711,1.54845,0.01335,1
48,-271.29428,-18.58661,-0.00085,1
49,43.60409,12.52752,0.04389,1
50,-36.90994,-6.00995,-0.00975,1
51,97.78763,-1.53846,-0.03109,1
52,325.82897,10.47616,-0.03399,1
53,-15.45850,1.36558,0.02031,1
54,39.98876,1.72923,0.00496,1
55,-181.08149,2.29258,0.05583,1
56,20.44828,-3.54021,-0.01731,1
57,30.20047,-3.14414,-0.00331,1
58,55.02573,3.90002,0.01099,1
59,-7.66364,2.97455,0.00462,1
60,167.62093,4.95175,-0.00933,1
61,497.46955,18.59498,-0.03708,1
62,-61.55307,-3.57675,-0.00109,1
63,-221.09551,-1.03890,0.04450,1
64,122.91875,-4.38130,-0.04014,1
65,194.66629,-1.57456,-0.04515,1
66,9.57902,-7.05474,-0.02107,1
67,37.95044,-2.85991,-0.02011,1
68,30.63877,10.50893,0.03428,1
69,161.29627,7.56320,-0.00289,1
70,-102.20149,-0.04129,0.02648,1
71,69.18938,8.73915,0.02440,1
72,-65.06361,0.28486,0.01551,1
73,52.12006,13.39183,0.04059,1
74,266.79614,14.84062,-0.01227,1
75,79.41746,2.16347,-0.00468,1
76,-251.67460,-3.36438,0.05105,1
77,150.30889,12.87301,0.02280,1
78,88.10405,-1.01316,-0.03371,1
79,-125.71103,3.67420,0.05298,1
80,-136.01117,-5.01621,0.01896,1
81,-15.59813,-1.40426,-0.00341,1
82,347.04362,12.08252,-0.01985,1
83,-62.25628,-1.36041,0.02241,1
84,-153.84201,3.95810,0.05867,1
85,-103.64131,-2.27850,0.01643,1
86,-44.29207,1.42655,0.01768,1
87,-176.07204,-8.36205,0.00775,1
88,-119.82529,-2.77569,0.02181,1
89,-53.87779,-13.62922,-0.03200,1
90,181.21093,-0.30375,-0.03737,1
91,-75.74656,2.50777,0.02724,1
92,-251.21515,-8.11130,0.02654,1
93,-59.64868,12.46667,0.05932,1
94,-80.64302,-3.53374,0.00223,1
95,53.81426,1.27700,-0.00159,1
96,9.82725,1.28750,-0.01285,1
97,-307.59815,-10.96979,0.04347,1
98,63.00533,10.70885,0.01863,1
99,184.06381,6.03697,-0.01482,1
100,39.53013,1.37595,-0.00351,1
101,10.65210,-2.72727,-0.01106,1
102,-37.31006,-4.04657,-0.00757,1
103,202.95426,4.81819,-0.02140,1
104,57.83729,-2.73246,-0.02009,1
105,358.81767,11.71676,-0.03516,1
